1.38E+14,8.75E+14,0
1.25E+15,8.75E+12,0
1.25E+15,0,0
1.38E+14,1.88E+14,5.00E+14
4.38E+13,8.38E+14,3.38E+14
1.25E+12,1.09E+15,6.75E+13
7.25E+14,1.06E+15,3.75E+14
2.00E+14,1.25E+14,0
4.38E+14,0,0
3.38E+14,0,0
1.38E+14,0,0
1.25E+15,0,0
1.25E+15,0,0
1.88E+14,0,0
1.38E+14,0,0
1.25E+15,0,0
1.25E+15,0,0
2.50E+14,3.75E+14,0
5.88E+12,3.88E+14,3.13E+14
5.13E+14,6.25E+14,2.50E+14
4.00E+14,0,0
1.13E+15,0,0
1.50E+14,0,0
1.13E+15,0,0
1.38E+14,0,0
1.13E+15,0,0
1.13E+15,0,0
3.50E+14,3.75E+14,0
9.63E+14,3.00E+14,2.25E+14
5.88E+14,2.00E+14,1.25E+14
8.75E+12,3.00E+14,1.25E+15
5.88E+12,9.00E+14,7.50E+14
5.75E+14,5.25E+14,7.25E+14
7.38E+14,2.50E+14,0
8.13E+14,2.50E+14,0
9.88E+14,6.25E+14,0
7.75E+14,6.25E+14,7.88E+14
6.13E+14,2.63E+14,3.75E+14
5.88E+14,2.50E+14,0
7.00E+14,1.25E+15,0
4.50E+14,0,0
3.50E+12,3.75E+14,0
3.75E+14,0,0
4.25E+14,5.00E+14,3.75E+14
4.75E+14,0,0
1.13E+15,0,0
1.25E+15,0,0
1.25E+15,1.13E+15,0
1.13E+15,0,0
1.25E+15,0,0
1.00E+15,0,0
1.13E+15,0,0
5.50E+14,5.00E+14,0
4.88E+14,4.38E+14,3.25E+14
4.38E+14,0,0
4.38E+14,6.25E+14,0
5.00E+14,0,0
5.50E+14,1.13E+15,0
6.88E+14,0,0
7.00E+14,5.00E+14,1.50E+14
5.00E+12,2.13E+14,0
1.63E+13,2.38E+14,2.63E+14
8.00E+14,1.25E+15,0
3.75E+14,6.25E+14,0
5.25E+14,5.00E+14,1.25E+15
4.13E+14,0,0
2.88E+14,7.50E+14,3.75E+14
1.25E+15,0,0
3.88E+14,0,0
4.13E+14,0,0
1.13E+15,3.75E+14,0
1.75E+14,1.13E+15,7.50E+14
1.25E+15,0,0
1.13E+15,0,0
1.50E+14,0,0
1.50E+14,0,0
3.88E+14,6.25E+14,0
7.50E+14,5.50E+14,4.50E+14
4.38E+14,0,0
5.63E+14,0,0
5.63E+14,1.25E+15,1.25E+14
6.00E+14,0,0
6.38E+14,2.00E+14,1.00E+15
1.06E+15,1.88E+14,0
8.13E+14,0,0
9.13E+14,7.25E+14,1.11E+15
6.38E+14,4.13E+13,5.25E+14
7.00E+14,3.75E+14,0
5.38E+14,5.00E+14,0
4.00E+14,2.50E+14,1.25E+14
2.75E+12,5.00E+14,2.50E+14
1.50E+14,0,0
1.13E+15,2.50E+14,0
4.63E+14,0,0
3.38E+14,0,0
